2019-11-13 17:01:07.688 [main] INFO  com.gaolei.crawler.CrawlerApplication - Starting CrawlerApplication on GaoLei with PID 23388 (E:\JavaProgram\gaolei-epwho-crawler\target\classes started by Administrator in E:\JavaProgram\gaolei-epwho-crawler)
2019-11-13 17:01:07.705 [main] INFO  com.gaolei.crawler.CrawlerApplication - No active profile set, falling back to default profiles: default
2019-11-13 17:01:09.399 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-13 17:01:09.500 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 91ms. Found 2 repository interfaces.
2019-11-13 17:01:10.073 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$a88d5387] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-13 17:01:10.760 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8111 (http)
2019-11-13 17:01:10.774 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8111"]
2019-11-13 17:01:10.792 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-11-13 17:01:10.793 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-11-13 17:01:10.994 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-11-13 17:01:10.994 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 3089 ms
2019-11-13 17:01:11.547 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2019-11-13 17:01:11.910 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2019-11-13 17:01:12.034 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {5.3.9.Final}
2019-11-13 17:01:12.036 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
2019-11-13 17:01:12.324 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.0.4.Final}
2019-11-13 17:01:12.600 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2019-11-13 17:01:13.735 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2019-11-13 17:01:14.365 [main] INFO  o.h.hql.internal.QueryTranslatorFactoryInitiator - HHH000397: Using ASTQueryTranslatorFactory
2019-11-13 17:01:15.096 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-11-13 17:01:15.152 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration$JpaWebMvcConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2019-11-13 17:01:15.341 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'taskScheduler'
2019-11-13 17:01:15.400 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8111"]
2019-11-13 17:01:15.443 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8111 (http) with context path ''
2019-11-13 17:01:15.445 [main] INFO  com.gaolei.crawler.CrawlerApplication - Started CrawlerApplication in 8.457 seconds (JVM running for 11.724)
2019-11-13 17:01:16.398 [scheduling-1] INFO  com.gaolei.crawler.task.EpwhoProcessor - 环保在线-商城产品列表任务开始执行...
2019-11-13 17:01:16.474 [scheduling-1] INFO  us.codecraft.webmagic.Spider - Spider www.hbzhan.com started!
2019-11-13 17:01:17.648 [pool-1-thread-1] INFO  u.c.webmagic.downloader.HttpClientDownloader - downloading page success http://www.hbzhan.com/product/newtype.html
2019-11-13 17:01:22.847 [scheduling-1] INFO  us.codecraft.webmagic.Spider - Spider www.hbzhan.com closed! 1 pages downloaded.
2019-11-13 17:04:27.837 [main] INFO  com.gaolei.crawler.CrawlerApplication - Starting CrawlerApplication on GaoLei with PID 24048 (E:\JavaProgram\gaolei-epwho-crawler\target\classes started by Administrator in E:\JavaProgram\gaolei-epwho-crawler)
2019-11-13 17:04:27.841 [main] INFO  com.gaolei.crawler.CrawlerApplication - No active profile set, falling back to default profiles: default
2019-11-13 17:04:29.296 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-11-13 17:04:29.425 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 117ms. Found 2 repository interfaces.
2019-11-13 17:04:29.863 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$3d937bb7] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-11-13 17:04:30.227 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8111 (http)
2019-11-13 17:04:30.242 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8111"]
2019-11-13 17:04:30.251 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-11-13 17:04:30.251 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-11-13 17:04:30.366 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-11-13 17:04:30.366 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2461 ms
2019-11-13 17:04:30.625 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
